source_paper,figure_ref,surface_id,surface_label,fluid,delta_T_wall,delta_T_sub,q_flux,Ra_um,theta_deg,category,notes
JABARDO_2009,Fig10b_Br_Ra1p8SPI,SFC-042,JABARDO_Br_Ra1p8SPI,R-134a,1.2353,0.0,5431.09,1.8,,jabardo_br,"WARN: delta_T=1.24 out of [2,30] K range; ONB_manual (was idx=None)"
JABARDO_2009,Fig10b_Br_Ra3p5SPI,SFC-043,JABARDO_Br_Ra3p5SPI,R-134a,1.1842,0.0,7924.54,3.5,,jabardo_br,"WARN: delta_T=1.18 out of [2,30] K range; ONB_manual (was idx=None)"
JABARDO_2009,Fig10c_SS_Ra0p03P,SFC-044,JABARDO_SS_Ra0p03P,R-134a,6.55,0.0,4033.78,0.03,,jabardo_ss,"ONB_auto (hint=[6.0,20.0]K)"
JABARDO_2009,Fig10c_SS_Ra0p07SP,SFC-045,JABARDO_SS_Ra0p07SP,R-134a,5.4483,0.0,3270.79,0.07,,jabardo_ss,"ONB_auto (hint=[5.0,18.0]K)"
JABARDO_2009,Fig10c_SS_Ra0p45SP,SFC-046,JABARDO_SS_Ra0p45SP,R-134a,4.7613,0.0,4495.71,0.45,,jabardo_ss,"ONB_auto (hint=[4.0,14.0]K)"
JABARDO_2009,Fig10c_SS_Ra0p90SPI,SFC-047,JABARDO_SS_Ra0p90SPI,R-134a,4.1697,0.0,2217.54,0.9,,jabardo_ss,"ONB_auto (hint=[3.0,12.0]K)"
JABARDO_2009,Fig10c_SS_Ra1p45SPI,SFC-048,JABARDO_SS_Ra1p45SPI,R-134a,3.598,0.0,4301.59,1.45,,jabardo_ss,"ONB_auto (hint=[3.0,12.0]K)"
JABARDO_2009,Fig10c_SS_Ra2p50SPI,SFC-049,JABARDO_SS_Ra2p50SPI,R-134a,2.572,0.0,4451.48,2.5,,jabardo_ss,"ONB_auto (hint=[2.0,10.0]K)"
JABARDO_2009,Fig10c_SS_Ra3p20SPI,SFC-050,JABARDO_SS_Ra3p20SPI,R-134a,2.5929,0.0,4374.57,3.2,,jabardo_ss,"ONB_auto (hint=[2.0,10.0]K)"
JABARDO_2009,Fig10d_SS_Ra0p03P,SFC-044,JABARDO_SS_Ra0p03P,R-134a,4.123,0.0,8625.46,0.03,,jabardo_ss,ONB_manual (was idx=None)
JABARDO_2009,Fig10d_SS_Ra0p07SP,SFC-045,JABARDO_SS_Ra0p07SP,R-134a,3.7277,0.0,6729.86,0.07,,jabardo_ss,ONB_manual (was idx=None)
JABARDO_2009,Fig10d_SS_Ra0p45SP,SFC-046,JABARDO_SS_Ra0p45SP,R-134a,3.5798,0.0,8973.71,0.45,,jabardo_ss,ONB_manual (was idx=None)
JABARDO_2009,Fig10d_SS_Ra0p90SPI,SFC-047,JABARDO_SS_Ra0p90SPI,R-134a,3.0664,0.0,8582.46,0.9,,jabardo_ss,"ONB_auto (hint=[3.0,12.0]K)"
JABARDO_2009,Fig10d_SS_Ra1p45SPI,SFC-048,JABARDO_SS_Ra1p45SPI,R-134a,3.0074,0.0,8582.14,1.45,,jabardo_ss,"ONB_auto (hint=[3.0,12.0]K)"
JABARDO_2009,Fig10d_SS_Ra2p50SPI,SFC-049,JABARDO_SS_Ra2p50SPI,R-134a,2.2676,0.0,6235.89,2.5,,jabardo_ss,"ONB_auto (hint=[2.0,10.0]K)"
JABARDO_2009,Fig10d_SS_Ra3p20SPI,SFC-050,JABARDO_SS_Ra3p20SPI,R-134a,2.2729,0.0,5861.07,3.2,,jabardo_ss,"ONB_auto (hint=[2.0,10.0]K)"
JABARDO_2009,Fig9a_Cu_Ra0p16SP,SFC-032,JABARDO_Cu_Ra0p16SP,R-123,8.084,0.0,1657.99,0.16,,jabardo,ONB_manual (preserved)
JABARDO_2009,Fig9a_Cu_Ra0p47SP,SFC-033,JABARDO_Cu_Ra0p47SP,R-123,7.0583,0.0,1665.28,0.47,,jabardo,ONB_manual (preserved)
JABARDO_2009,Fig9a_Cu_Ra10p5SPI,SFC-038,JABARDO_Cu_Ra10p5SPI,R-123,4.2176,0.0,2016.61,10.5,,jabardo,ONB_manual (preserved)
JABARDO_2009,Fig9a_Cu_Ra3p3SPI,SFC-036,JABARDO_Cu_Ra3p3SPI,R-123,7.3272,0.0,1700.0,3.3,,jabardo,ONB_manual (preserved)
JABARDO_2009,Fig9a_Cu_Ra4p6SPI,SFC-037,JABARDO_Cu_Ra4p6SPI,R-123,10.0348,0.0,4225.59,4.6,,jabardo,ONB_manual (preserved)
JABARDO_2009,Fig9b_Cu_Ra0p16SP,SFC-032,JABARDO_Cu_Ra0p16SP,R-123,6.8606,0.0,4307.37,0.16,,jabardo,"ONB_auto (hint=[5.0,15.0]K)"
JABARDO_2009,Fig9b_Cu_Ra0p47SP,SFC-033,JABARDO_Cu_Ra0p47SP,R-123,5.4046,0.0,5129.82,0.47,,jabardo,"ONB_auto (hint=[3.0,12.0]K)"
JABARDO_2009,Fig9b_Cu_Ra10p5SPI,SFC-038,JABARDO_Cu_Ra10p5SPI,R-123,2.4078,0.0,2081.2,10.5,,jabardo,"ONB_auto (hint=[2.0,8.0]K)"
JABARDO_2009,Fig9b_Cu_Ra3p3SPI,SFC-036,JABARDO_Cu_Ra3p3SPI,R-123,4.1764,0.0,8377.33,3.3,,jabardo,"ONB_auto (hint=[2.0,9.0]K)"
JABARDO_2009,Fig9b_Cu_Ra4p6SPI,SFC-037,JABARDO_Cu_Ra4p6SPI,R-123,2.6847,0.0,2070.66,4.6,,jabardo,"ONB_auto (hint=[2.0,9.0]K)"
JABARDO_2009,Fig9c_Cu_Ra0p07P,SFC-031,JABARDO_Cu_Ra0p07P,R-134a,8.3105,0.0,9795.79,0.07,,jabardo,ONB_manual (preserved)
JABARDO_2009,Fig9c_Cu_Ra0p5SP,SFC-034,JABARDO_Cu_Ra0p5SP,R-134a,3.909,0.0,3406.11,0.5,,jabardo,ONB_manual (preserved)
JABARDO_2009,Fig9c_Cu_Ra10p5SPI,SFC-038,JABARDO_Cu_Ra10p5SPI,R-134a,2.6766,0.0,4169.38,10.5,,jabardo,ONB_manual (preserved)
JABARDO_2009,Fig9c_Cu_Ra2p5SPI,SFC-035,JABARDO_Cu_Ra2p5SPI,R-134a,2.3951,0.0,4528.08,2.5,,jabardo,ONB_manual (preserved)
JABARDO_2009,Fig9c_Cu_Ra4p6SPI,SFC-037,JABARDO_Cu_Ra4p6SPI,R-134a,3.2362,0.0,2127.93,4.6,,jabardo,ONB_manual (preserved)
JABARDO_2009,Fig9d_Cu_Ra0p07P,SFC-031,JABARDO_Cu_Ra0p07P,R-134a,3.49,0.0,6292.74,0.07,,jabardo,ONB_manual (was idx=None)
JABARDO_2009,Fig9d_Cu_Ra0p5SP,SFC-034,JABARDO_Cu_Ra0p5SP,R-134a,3.2278,0.0,8323.12,0.5,,jabardo,"ONB_auto (hint=[3.0,12.0]K)"
