paper_id,fluid,channel_type,D_h_mm,G_kg_m2s,P_kPa,delta_T_sub_K,Ra_um,theta_deg,surface_cat,q_onb_W_m2,delta_T_onb_K,source_fig,digitize_date,notes
basu2002,R-113,tube_circular,9.5,-1.0,101.325,-1.0,-1,5.0,crpt_rod,-1.0,22.8481689133274,fig10,2026-05-28,parity ΔT_ONB; x=predicted(21.12°C); series=Past_theta05_R113-CrPt
basu2002,R-113,tube_circular,9.5,-1.0,101.325,-1.0,-1,5.0,ss_rod,-1.0,18.592152237651224,fig10,2026-05-28,parity ΔT_ONB; x=predicted(33.15°C); series=Past_theta05_R113-SS
basu2002,R-113,tube_circular,9.5,-1.0,101.325,-1.0,-1,5.0,ss_rod,-1.0,21.526252829100493,fig10,2026-05-28,parity ΔT_ONB; x=predicted(33.01°C); series=Past_theta05_R113-SS
basu2002,R-113,tube_circular,9.5,-1.0,101.325,-1.0,-1,5.0,ss_rod,-1.0,27.539931413293523,fig10,2026-05-28,parity ΔT_ONB; x=predicted(30.12°C); series=Past_theta05_R113-SS
basu2002,R-113,tube_circular,9.5,-1.0,101.325,-1.0,-1,5.0,ss_rod,-1.0,30.25215315431412,fig10,2026-05-28,parity ΔT_ONB; x=predicted(28.08°C); series=Past_theta05_R113-SS
basu2002,R-113,tube_circular,9.5,-1.0,101.325,-1.0,-1,5.0,ss_rod,-1.0,29.556328902441667,fig10,2026-05-28,parity ΔT_ONB; x=predicted(25.95°C); series=Past_theta05_R113-SS
basu2002,R-113,tube_circular,9.5,-1.0,101.325,-1.0,-1,5.0,ss_rod,-1.0,21.53939463022665,fig10,2026-05-28,parity ΔT_ONB; x=predicted(25.05°C); series=Past_theta05_R113-SS
basu2002,R-113,tube_circular,9.5,-1.0,101.325,-1.0,-1,5.0,ss_rod,-1.0,21.187981896043556,fig10,2026-05-28,parity ΔT_ONB; x=predicted(15.01°C); series=Past_theta05_R113-SS
basu2002,R-113,tube_circular,9.5,-1.0,101.325,-1.0,-1,5.0,ss_rod,-1.0,22.05887262659061,fig10,2026-05-28,parity ΔT_ONB; x=predicted(21.03°C); series=Past_theta05_R113-SS
basu2002,R-12,tube_circular,9.5,-1.0,101.325,-1.0,-1,6.0,copper_rod,-1.0,12.010988840239824,fig10,2026-05-28,parity ΔT_ONB; x=predicted(9.98°C); series=Past_theta06_R12-Cu
basu2002,R-12,tube_circular,9.5,-1.0,101.325,-1.0,-1,6.0,copper_rod,-1.0,9.449926763579754,fig10,2026-05-28,parity ΔT_ONB; x=predicted(8.02°C); series=Past_theta06_R12-Cu
basu2002,R-12,tube_circular,9.5,-1.0,101.325,-1.0,-1,6.0,copper_rod,-1.0,8.603537958784166,fig10,2026-05-28,parity ΔT_ONB; x=predicted(8.23°C); series=Past_theta06_R12-Cu
basu2002,R-12,tube_circular,9.5,-1.0,101.325,-1.0,-1,6.0,copper_rod,-1.0,7.172617343442976,fig10,2026-05-28,parity ΔT_ONB; x=predicted(9.06°C); series=Past_theta06_R12-Cu
basu2002,R-12,tube_circular,9.5,-1.0,101.325,-1.0,-1,6.0,copper_rod,-1.0,7.174146176247434,fig10,2026-05-28,parity ΔT_ONB; x=predicted(8.23°C); series=Past_theta06_R12-Cu
basu2002,R-12,tube_circular,9.5,-1.0,101.325,-1.0,-1,6.0,copper_rod,-1.0,4.441358801226733,fig10,2026-05-28,parity ΔT_ONB; x=predicted(5.06°C); series=Past_theta06_R12-Cu
basu2002,R-12,tube_circular,9.5,-1.0,101.325,-1.0,-1,6.0,copper_rod,-1.0,3.6621219830431313,fig10,2026-05-28,parity ΔT_ONB; x=predicted(4.05°C); series=Past_theta06_R12-Cu
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,38.0,nickel_rod,-1.0,1.63308408779328,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.31°C); series=Past_theta38_water-Ni
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,38.0,nickel_rod,-1.0,2.0276751282870884,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.81°C); series=Past_theta38_water-Ni
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,38.0,nickel_rod,-1.0,2.2935166311282966,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.67°C); series=Past_theta38_water-Ni
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,38.0,ss_rod,-1.0,23.382669530488183,fig10,2026-05-28,parity ΔT_ONB; x=predicted(24.40°C); series=Past_theta38_water-SS
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,38.0,ss_rod,-1.0,29.56663850904448,fig10,2026-05-28,parity ΔT_ONB; x=predicted(22.17°C); series=Past_theta38_water-SS
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,38.0,ss_rod,-1.0,13.901237105742092,fig10,2026-05-28,parity ΔT_ONB; x=predicted(11.79°C); series=Past_theta38_water-SS
