surface_id,surface_label,fluid,category,source_paper,Ra_um,theta_deg,delta_T_wall_K,q_flux_W_m2,r_c_min_um,r_c_max_um,r_c_geomean_um,no_solution
SFC-050,JABARDO_SS_Ra3p20SPI,R-134a,jabardo_ss,JABARDO_2009,3.2,,2.5929,4374.57,0.00884289436713048,50.4483519991495,0.6679142517751023,False
SFC-044,JABARDO_SS_Ra0p03P,R-134a,jabardo_ss,JABARDO_2009,0.03,,4.123,8625.46,0.008843266461962856,40.68266378376672,0.5998063322625856,False
SFC-045,JABARDO_SS_Ra0p07SP,R-134a,jabardo_ss,JABARDO_2009,0.07,,3.7277,6729.86,0.008843003012437463,47.1439724609537,0.6456735169499229,False
SFC-046,JABARDO_SS_Ra0p45SP,R-134a,jabardo_ss,JABARDO_2009,0.45,,3.5798,8973.71,0.008843647652708135,33.95051179177597,0.5479474098082584,False
SFC-047,JABARDO_SS_Ra0p90SPI,R-134a,jabardo_ss,JABARDO_2009,0.9,,3.0664,8582.46,0.008843916179281862,30.406289344763053,0.5185659787221638,False
SFC-048,JABARDO_SS_Ra1p45SPI,R-134a,jabardo_ss,JABARDO_2009,1.45,,3.0074,8582.14,0.008843966561293253,29.822189950870634,0.513562509058085,False
SFC-049,JABARDO_SS_Ra2p50SPI,R-134a,jabardo_ss,JABARDO_2009,2.5,,2.2676,6235.89,0.008843871246752271,30.94686174865816,0.5231539551567737,False
SFC-050,JABARDO_SS_Ra3p20SPI,R-134a,jabardo_ss,JABARDO_2009,3.2,,2.2729,5861.07,0.008843713756062322,33.003482329782,0.5402530431916631,False
SFC-032,JABARDO_Cu_Ra0p16SP,R-123,jabardo,JABARDO_2009,0.16,,8.084,1657.99,0.04880159325084498,368.73245584653046,4.2420197227980365,False
SFC-033,JABARDO_Cu_Ra0p47SP,R-123,jabardo,JABARDO_2009,0.47,,7.0583,1665.28,0.048802564535962024,320.5318361723531,3.955094894010973,False
SFC-038,JABARDO_Cu_Ra10p5SPI,R-123,jabardo,JABARDO_2009,10.5,,4.2176,2016.61,0.04881019621280413,158.1371426687596,2.778255740963088,False
SFC-036,JABARDO_Cu_Ra3p3SPI,R-123,jabardo,JABARDO_2009,3.3,,7.3272,1700.0,0.04880244106354263,325.9481704896254,3.988366379871525,False
SFC-037,JABARDO_Cu_Ra4p6SPI,R-123,jabardo,JABARDO_2009,4.6,,10.0348,4225.59,0.048808398281041,179.56751721099448,2.960473424702864,False
SFC-032,JABARDO_Cu_Ra0p16SP,R-123,jabardo,JABARDO_2009,0.16,,6.8606,4307.37,0.04881491543606817,120.4199236420682,2.4245181767529287,False
SFC-033,JABARDO_Cu_Ra0p47SP,R-123,jabardo,JABARDO_2009,0.47,,5.4046,5129.82,0.04882505095952319,79.63788065924575,1.9718832575728462,False
SFC-038,JABARDO_Cu_Ra10p5SPI,R-123,jabardo,JABARDO_2009,10.5,,2.4078,2081.2,0.048822375213435784,87.45580820457899,2.066349506438403,False
SFC-036,JABARDO_Cu_Ra3p3SPI,R-123,jabardo,JABARDO_2009,3.3,,4.1764,8377.33,0.04885844319764963,37.65804825622646,1.356434153087126,False
SFC-037,JABARDO_Cu_Ra4p6SPI,R-123,jabardo,JABARDO_2009,4.6,,2.6847,2070.66,0.048819439032810774,98.01558869278158,2.1874793842348113,False
SFC-031,JABARDO_Cu_Ra0p07P,R-134a,jabardo,JABARDO_2009,0.07,,8.3105,9795.79,0.0088424272387372,72.21164129915472,0.7990783340684228,False
SFC-034,JABARDO_Cu_Ra0p5SP,R-134a,jabardo,JABARDO_2009,0.5,,3.909,3406.11,0.008842144870580174,97.68781558431319,0.9293921763642174,False
SFC-038,JABARDO_Cu_Ra10p5SPI,R-134a,jabardo,JABARDO_2009,10.5,,2.6766,4169.38,0.008842775447085772,54.64046939572656,0.6951067552468271,False
SFC-035,JABARDO_Cu_Ra2p5SPI,R-134a,jabardo,JABARDO_2009,2.5,,2.3951,4528.08,0.008843081303072464,45.01911622941374,0.6309577680076336,False
SFC-037,JABARDO_Cu_Ra4p6SPI,R-134a,jabardo,JABARDO_2009,4.6,,3.2362,2127.93,0.008841948474889066,129.45566495071873,1.0698786469860764,False
SFC-031,JABARDO_Cu_Ra0p07P,R-134a,jabardo,JABARDO_2009,0.07,,3.49,6292.74,0.008843000910007148,47.20380335924383,0.6460830256720815,False
SFC-034,JABARDO_Cu_Ra0p5SP,R-134a,jabardo,JABARDO_2009,0.5,,3.2278,8323.12,0.008843713663054762,33.00477768226673,0.5402636424327915,False
SFC-038,JABARDO_Cu_Ra10p5SPI,R-134a,jabardo,JABARDO_2009,10.5,,2.4296,4336.83,0.008842984295702414,47.68200951779866,0.6493467959060293,False
SFC-035,JABARDO_Cu_Ra2p5SPI,R-134a,jabardo,JABARDO_2009,2.5,,2.0344,6581.02,0.008844317040115957,26.306911134077453,0.4823553279647042,False
SFC-037,JABARDO_Cu_Ra4p6SPI,R-134a,jabardo,JABARDO_2009,4.6,,2.3324,8471.75,0.008844682414468081,23.428186983242387,0.45520860428330434,False
SFC-020,JONES_EDM10p0,water,jones,JONES_2009,10.0,,3.9881,6617.85,0.06092627835287157,408.039062585662,4.986010580207269,False
SFC-017,JONES_EDM1p08,water,jones,JONES_2009,1.08,,4.4643,6691.54,0.060925398355361926,451.73754436526815,5.246169063471644,False
SFC-018,JONES_EDM2p22,water,jones,JONES_2009,2.22,,4.9107,7147.46,0.060925160334795815,465.2134477741454,5.3238335713603,False
SFC-019,JONES_EDM5p89,water,jones,JONES_2009,5.89,,5.0298,7165.88,0.06092499145881827,475.2728211609856,5.381077268525468,False
SFC-015,JONES_Polished_w,water,jones_w,JONES_2009,0.038,,11.1905,18564.06,0.06092627568405149,408.1588033907433,4.986742000370281,False
SFC-008,JO_Hydrophilic,water,jo,JO_2011,0.00175,54.0,10.6522,36833.94,0.060936142645287454,195.78230962362773,3.4540148735419796,False
SFC-009,JO_Hydrophobic,water,jo,JO_2011,0.00175,123.0,1.6957,7386.07,0.060941069815999366,155.41137328819008,3.077488480848617,False
SFC-010,PHAN_SiOx,water,phan,PHAN_2009,0.03,22.0,18.9556,127923.38,0.06095420813276162,100.28620272592556,2.472421095566124,False
SFC-011,PHAN_TiO2,water,phan,PHAN_2009,0.03,31.0,14.7124,59479.7,0.06093935240047315,167.44577391210436,3.1943758426959845,False
SFC-012,PHAN_Pt,water,phan,PHAN_2009,0.03,67.0,24.8896,172459.04,0.060955199011421275,97.6738868644769,2.440026887565634,False
SFC-013,PHAN_Fe2O3,water,phan,PHAN_2009,0.03,80.0,13.5093,66763.15,0.06094428770897304,136.96837158834353,2.8891936323323044,False
SFC-014,PHAN_ref,water,phan,PHAN_2009,0.03,85.0,12.2663,82151.0,0.06095392640910651,101.0546524030761,2.4818698285516385,False
