surface_id,fluid,n_obs,r_c_pinn_um,loss_final,init_r_c_um
SFC-001,water,2,8.000000242428031,9.174128354061395e-05,8.0
SFC-002,water,1,8.000000242428031,0.0001981196692213416,8.0
SFC-003,water,2,8.000000242428031,0.00012469204375520349,8.0
SFC-004,water,1,8.000000242428031,0.00012953265104442835,8.0
SFC-005,water,2,8.000000242428031,0.00010172789916396141,8.0
SFC-006,water,1,8.000000242428031,0.0002624758053570986,8.0
SFC-007,water,1,8.000000242428031,0.00022685117437504232,8.0
SFC-021,water,2,8.000000242428031,4.6982378989923745e-05,8.0
SFC-022,water,1,8.000000242428031,0.00011414670734666288,8.0
SFC-023,water,1,8.000000242428031,0.0001892050786409527,8.0
SFC-025,water,1,8.000000242428031,1.407506733386299e-08,8.0
SFC-024,water,1,8.000000242428031,3.7263319541125384e-08,8.0
SFC-029,water,2,8.000000242428031,1.2663526831602212e-05,8.0
SFC-028,water,1,8.000000242428031,2.116335735991015e-06,8.0
SFC-027,water,1,8.000000242428031,5.866182618774474e-05,8.0
SFC-026,water,1,8.000000242428031,0.0006037260754965246,8.0
SFC-039,R-134a,2,5.447567216367064,0.000242110516410321,8.0
SFC-040,R-134a,2,3.4613768418171476,3.054827175219543e-05,8.0
SFC-041,R-134a,2,4.860685732306664,0.00011438196816015989,8.0
SFC-042,R-134a,2,7.590874644760221,9.761024557519704e-06,8.0
SFC-043,R-134a,2,0.7478239480588306,1.0986905181198381e-05,8.0
SFC-044,R-134a,2,1.5033618999522589,0.00029457101481966674,8.0
SFC-045,R-134a,2,4.530216206389146,0.00014123704750090837,8.0
SFC-046,R-134a,2,9.489765124560801,0.00013426016084849834,8.0
SFC-047,R-134a,2,6.0066757761766985,1.8095575796905905e-05,8.0
SFC-048,R-134a,2,6.410634813609226,2.9945800633868203e-05,8.0
SFC-049,R-134a,2,1.4251661587918147,2.0366294393170392e-06,8.0
SFC-050,R-134a,2,1.3380125735243786,2.0750437670358224e-06,8.0
SFC-032,R-123,2,3.3572717234105762,0.00012741764658130705,8.0
SFC-033,R-123,2,1.038246222667528,0.00014317290333565325,8.0
SFC-038,R-123,4,36.32992223050482,2.243645394628402e-05,8.0
SFC-036,R-123,2,6.101282485852628,0.00036273436853662133,8.0
SFC-037,R-123,4,6.575508257495109,0.0005070100305601954,8.0
SFC-031,R-134a,2,8.092231515983793,0.0004215239896439016,8.0
SFC-034,R-134a,2,1.027160391558487,2.96231282845838e-05,8.0
SFC-035,R-134a,2,1.6305666365983498,2.0739366846100893e-06,8.0
SFC-020,water,1,8.000000242428031,5.744255759054795e-06,8.0
SFC-017,water,1,8.000000242428031,2.271282255605911e-06,8.0
SFC-018,water,1,8.000000242428031,4.531932233931002e-07,8.0
SFC-019,water,1,8.000000242428031,2.0312005233336095e-07,8.0
SFC-015,water,1,8.41415027033313,3.469446951953614e-18,8.0
SFC-008,water,1,8.000000242428031,5.417585271061398e-05,8.0
SFC-009,water,1,8.000000242428031,4.5654196583200246e-05,8.0
SFC-010,water,1,8.000000242428031,8.956524106906727e-05,8.0
SFC-011,water,1,8.000000242428031,0.00017792709695640951,8.0
SFC-012,water,1,8.000000242428031,0.00010128196299774572,8.0
SFC-013,water,1,8.000000242428031,9.690583101473749e-05,8.0
SFC-014,water,1,8.000000242428031,1.4066091353015509e-05,8.0
